Car unique id,first online date,car sold on date,manufacturer,model,fuel_type,buy price,last available online price,External market reference price
1282988314,2024-12-02,2024-12-05,Dacia,Sandero,Benzin,5985,10503,11810
1283791915,2024-12-05,,Nissan,Micra,Benzin,3657,8901,10394
1280311295,2024-11-04,,Ford,Kuga,Benzin,11019,17281,16928
1283403763,2024-12-31,,Renault,Clio,Benzin,8356,14210,13515
1282362421,2024-11-15,2024-11-27,BMW,X6,Diesel,31429,39724,41870
1284303284,2025-01-08,,Volkswagen,T-Roc,Benzin,21913,27595,27539
1281165570,2024-11-16,,Volkswagen,Passat,Hybrid,18990,25626,24283
1281241314,2024-11-10,,Volkswagen,up!,Benzin,3846,8988,7641
1279065552,2024-09-27,2024-10-31,Mercedes-Benz,CLA-Klasse,Benzin,27650,33836,
1279755005,2024-09-23,2024-12-05,Dacia,Sandero,Benzin,6246,10008,8473
1281029058,2024-10-16,,Ford,Kuga,Benzin,12117,16407,17965
1278674105,2024-09-20,2024-12-17,Fiat,500C,Benzin,3549,7667,6449
1280210217,2024-11-09,2024-12-19,Skoda,Yeti,Benzin,12093,15636,14449
1281860506,2025-01-07,,Mercedes-Benz,A-Klasse,Benzin,18094,24407,25536
1282464702,2024-11-11,,Volkswagen,Tiguan,Benzin,21029,26739,27791
1282470418,2024-11-15,,Volkswagen,Golf VII,Benzin,8231,11215,10869
1282480735,2024-11-29,2025-01-07,Ford,S-Max,Diesel,11262,15542,16281
1280471887,2024-10-17,,Skoda,Octavia,Benzin,14858,17902,19742
1283527730,2024-12-13,2025-01-09,Hyundai,i20,Benzin,5032,9786,11078
1281801090,2024-11-08,,Audi,Q2,Benzin,20110,24316,24555
1273256280,2024-12-05,,BMW,1er,Benzin,7690,11068,12213
1282405226,2024-11-18,,BMW,X1,Benzin,19155,24908,24332
1271592180,2024-10-04,2024-10-22,Opel,Grandland X,Hybrid,16224,22454,22520
1278506519,2024-09-24,2024-11-25,Volkswagen,Polo,Benzin,17152,18270,18707
1239479290,2024-12-03,2025-01-06,Toyota,RAV 4,Hybrid,16136,21523,21317
1252672991,2024-10-04,,BMW,4er,Benzin,28354,31252,32771
1252883877,2024-10-04,2024-10-19,Skoda,Octavia,Benzin,28482,32455,34243
1277970079,2024-09-20,2024-09-24,BMW,4er,Benzin,25892,34419,35251
1268853320,2024-11-09,,Hyundai,i10,Benzin,6389,10470,10172
1280144626,2024-10-23,,Audi,A4,Diesel,29359,30476,31912
1281381132,2024-10-24,2024-12-28,Ford,C-Max,Benzin,6049,9558,9289
1254998487,2024-09-24,2024-11-30,Volkswagen,Passat,Diesel,14187,15449,17408
1281622401,2024-11-22,,Volkswagen,Golf VII,Benzin,14206,19010,20468
1271404428,2024-10-04,2025-01-09,Audi,TT,Benzin,19743,23934,24623
1282848137,2024-12-04,,Toyota,Yaris,Hybrid,15498,17997,19700
1274552636,2024-11-19,,Audi,Q3,Diesel,22047,26772,27680
1274829962,2024-09-24,2024-12-19,Mercedes-Benz,GLC-Klasse,Benzin,33154,35162,37227
1275077934,2024-09-17,2024-09-24,Opel,Insignia Sports Tourer,Diesel,12697,16770,14895
1264048440,2024-09-27,2024-12-05,Audi,A5,Benzin,25925,27499,28021
1274315919,2024-10-29,,Hyundai,Tucson,Benzin,16374,22165,22099
1276975360,2024-09-19,2024-12-09,BMW,1er,Benzin,19846,23793,23319
1278789513,2024-11-06,2024-12-31,BMW,X3,Diesel,18677,22178,22825
1278912442,2024-10-23,,Hyundai,i30,Benzin,14490,15879,17220
1283381773,2024-12-04,,Renault,Clio,Benzin,4208,10756,9463
1279221458,2024-09-19,2024-11-26,Seat,Leon,Benzin,12977,16894,16818
1279699066,2024-11-04,,Volkswagen,T6 Caravelle,Diesel,30851,35417,34893
1277616792,2024-09-17,2024-09-21,Mazda,CX-5,Diesel,15367,18860,19445
1279439893,2024-10-09,2024-10-09,Suzuki,Jimny,Benzin,20750,27920,27995
1277421208,2024-10-15,,Seat,Ateca,Benzin,20298,25600,25230
1282763617,2024-09-13,2024-09-16,Volkswagen,Polo,Benzin,10902,12699,13426
1278901519,2024-10-07,,Opel,Mokka X,Benzin,10719,13075,12695
1281716691,2024-11-13,2024-12-03,Ford,EcoSport,Benzin,12772,16098,16593
1281826088,2024-11-04,2024-11-28,Audi,A4,Benzin,16808,21940,20931
1279860644,2024-09-30,2024-12-05,Volkswagen,Golf VII,Diesel,10844,13045,14514
1279782239,2024-12-13,2024-12-19,Mercedes-Benz,A-Klasse Limousine,Diesel,18199,26846,27404
1281963621,2024-11-10,2024-12-27,BMW,X3,Benzin,31540,35815,34436
1282218659,2024-11-15,,Volvo,V60,Diesel,11769,15639,14249
1284215680,2024-12-18,,Hyundai,i20,Benzin,5391,10069,10144
1285059874,2025-01-09,,Smart,fortwo,Benzin,10067,14247,14127
